Firmware version:	0741705C3
File Creation Date:	14/07/2024 16:39:09
Battery Level:	 6.2
TideMaster S/N:	77065
Station ID:	01
Site info:	OSEANOGRAFI
Calibrated:	08/06/2021
Mode:	B52
Pressure units:	dBar
output format:	740
Pressure:
User Pressure cal:
Gain:	3486.8526
Offset:	-150.54563
Vale Pressure cal:
P0:	-3.078969e-9
P1:	0.003196
P2:	-1.746184
Wind speed units:	m\sec
Air Pressure units:	mBar
Air Temperature units:	DegC
Timestamp	Depth	Depth stdev	Wspeed	Wspeed stdev	Max Gust	Wdir	Wdir stdev	Air Pressure	Air Pressure stdev	Air Temperature	Air Temperature stdev	Dewpoint	Dewpoint stdev	Humidity	Humidity stdev	Batt	Status
15/07/2024 20:15:00	1.401	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 20:30:00	1.379	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 20:45:00	1.374	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 21:00:00	1.366	0.018	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 21:15:00	1.367	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 21:30:00	1.348	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 21:45:00	1.324	0.023	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 22:00:00	1.313	0.024	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 22:15:00	1.293	0.026	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 22:30:00	1.275	0.027	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 22:45:00	1.239	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 23:00:00	1.208	0.025	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 23:15:00	1.175	0.033	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 23:30:00	1.148	0.028	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 23:45:00	1.118	0.012	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 00:00:00	1.093	0.029	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 00:15:00	1.067	0.023	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 00:30:00	1.045	0.027	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 00:45:00	 1.01	0.032	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 01:00:00	0.986	0.013	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 01:15:00	 0.96	0.035	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 01:30:00	0.919	0.024	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 01:45:00	0.894	0.035	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 02:00:00	0.879	0.023	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 02:15:00	0.852	0.017	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 02:30:00	0.831	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 02:45:00	0.796	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 03:00:00	0.774	0.032	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 03:15:00	0.758	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 03:30:00	0.751	 0.01	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 03:45:00	0.733	0.019	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 04:00:00	0.739	0.014	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 04:15:00	0.733	0.019	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 04:30:00	0.728	0.011	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 04:45:00	0.728	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 05:00:00	0.723	0.026	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 05:15:00	 0.72	0.011	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 05:30:00	0.713	0.017	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
16/07/2024 05:45:00	 0.72	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
